number,measure_type,title,subject,year,meeting_name,status,status_details,category,topics,attachments,final_report_par,memo,approvals,approvals_text,url,text_file
M1,Measure,"Measure 1 (2012) - ATCM XXXV - CEP XV, Hobart","Antarctic Specially Protected Area No 109 (Moe Island, South Orkney Islands): Revised Management Plan",2012,ATCM XXXV - CEP XV,Effective,Effective 31/10/2012 (Fast Approval),Area protection and management,ASPAs (Antarctic Specially Protected Areas) | Moe Island (ASPA 109),ASPA No 109 - Moe Island | https://documents.ats.aq/recatt/att499_e.pdf,103,Management Plan for ASPA No 109 annexed to this Measure revoked by Measure 1 (2017),,Fast Approval: Entered into effect on 31 Oct 2012,https://www.ats.aq/devAS/Meetings/Measure/500?s=1&iframe=1&from=06/20/2012&to=06/20/2012&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2012/Measure_M1.txt
M2,Measure,"Measure 2 (2012) - ATCM XXXV - CEP XV, Hobart","Antarctic Specially Protected Area No 110 (Lynch Island, South Orkney Islands): Revised Management Plan",2012,ATCM XXXV - CEP XV,Effective,Effective 31/10/2012 (Fast Approval),Area protection and management,ASPAs (Antarctic Specially Protected Areas) | Lynch Island (ASPA 110),ASPA No 110 - Lynch Island | https://documents.ats.aq/recatt/att501_e.pdf,103,Management Plan for ASPA No 110 annexed to this Measure revoked by Measure 2 (2017),,Fast Approval: Entered into effect on 31 Oct 2012,https://www.ats.aq/devAS/Meetings/Measure/501?s=1&iframe=1&from=06/20/2012&to=06/20/2012&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2012/Measure_M2.txt
M3,Measure,"Measure 3 (2012) - ATCM XXXV - CEP XV, Hobart","Antarctic Specially Protected Area No 111 (Southern Powell Island and adjacent islands, South Orkney Islands): Revised Management Plan",2012,ATCM XXXV - CEP XV,Effective,Effective 31/10/2012 (Fast Approval),Area protection and management,ASPAs (Antarctic Specially Protected Areas) | Powell Island (ASPA 111),ASPA No 111 - Southern Powell Island and adjacent islands | https://documents.ats.aq/recatt/att502_e.pdf,103,Management Plan for ASPA No 111 annexed to this Measure revoked by Measure 3 (2017),,Fast Approval: Entered into effect on 31 Oct 2012,https://www.ats.aq/devAS/Meetings/Measure/502?s=1&iframe=1&from=06/20/2012&to=06/20/2012&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2012/Measure_M3.txt
M4,Measure,"Measure 4 (2012) - ATCM XXXV - CEP XV, Hobart","Antarctic Specially Protected Area No 112 (Coppermine Peninsula, Robert Island, South Shetland Islands): Revised Management Plan",2012,ATCM XXXV - CEP XV,Effective,Effective 31/10/2012 (Fast Approval),Area protection and management,ASPAs (Antarctic Specially Protected Areas) | Coppermine Peninsula (ASPA 112),ASPA No 112 - Coppermine Peninsula | https://documents.ats.aq/recatt/att506_e.pdf,103,,,Fast Approval: Entered into effect on 31 Oct 2012,https://www.ats.aq/devAS/Meetings/Measure/503?s=1&iframe=1&from=06/20/2012&to=06/20/2012&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2012/Measure_M4.txt
M5,Measure,"Measure 5 (2012) - ATCM XXXV - CEP XV, Hobart","Antarctic Specially Protected Area No 115 (Lagotellerie Island, Marguerite Bay, Graham Land): Revised Management Plan",2012,ATCM XXXV - CEP XV,Effective,Effective 31/10/2012 (Fast Approval),Area protection and management,ASPAs (Antarctic Specially Protected Areas) | Lagotellerie Island (ASPA 115),ASPA No 115 - Lagotellerie Island | https://documents.ats.aq/recatt/att508_e.pdf,103,Management Plan for ASPA No 115 annexed to this Measure revoked by Measure 4 (2017),,Fast Approval: Entered into effect on 31 Oct 2012,https://www.ats.aq/devAS/Meetings/Measure/504?s=1&iframe=1&from=06/20/2012&to=06/20/2012&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2012/Measure_M5.txt
M6,Measure,"Measure 6 (2012) - ATCM XXXV - CEP XV, Hobart","Antarctic Specially Protected Area No 129 (Rothera Point, Adelaide Island): Revised Management Plan",2012,ATCM XXXV - CEP XV,Effective,Effective 31/10/2012 (Fast Approval),Area protection and management,ASPAs (Antarctic Specially Protected Areas) | Rothera Point (ASPA 129),ASPA No 129 - Rothera Point | https://documents.ats.aq/recatt/att509_e.pdf,103,Management Plan for ASPA No 129 annexed to this Measure revoked by Measure 5 (2017),,Fast Approval: Entered into effect on 31 Oct 2012,https://www.ats.aq/devAS/Meetings/Measure/505?s=1&iframe=1&from=06/20/2012&to=06/20/2012&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2012/Measure_M6.txt
M7,Measure,"Measure 7 (2012) - ATCM XXXV - CEP XV, Hobart","Antarctic Specially Protected Area No 133 (Harmony Point, Nelson Island, South Shetland Islands): Revised Management Plan",2012,ATCM XXXV - CEP XV,Effective,Effective 31/10/2012 (Fast Approval),Area protection and management,ASPAs (Antarctic Specially Protected Areas) | Harmony Point (ASPA 133),ASPA No 133 - Harmony Point | https://documents.ats.aq/recatt/att510_e.pdf,103,Management Plan for Antarctic Specially Protected Area No 133 annexed to this Measure revoked by Measure 13 (2022),,Fast Approval: Entered into effect on 31 Oct 2012,https://www.ats.aq/devAS/Meetings/Measure/506?s=1&iframe=1&from=06/20/2012&to=06/20/2012&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2012/Measure_M7.txt
M8,Measure,"Measure 8 (2012) - ATCM XXXV - CEP XV, Hobart",Antarctic Specially Protected Area No 140 (Parts of Deception Island): Revised Management Plan,2012,ATCM XXXV - CEP XV,Effective,Effective 31/10/2012 (Fast Approval),Area protection and management,ASPAs (Antarctic Specially Protected Areas) | Deception Island (ASPA 140),ASPA No 140 - Parts of Deception Island | https://documents.ats.aq/recatt/att511_e.pdf,103,Management Plan for ASPA No 140 annexed to this Measure revoked by Measure 6 (2017),,Fast Approval: Entered into effect on 31 Oct 2012,https://www.ats.aq/devAS/Meetings/Measure/507?s=1&iframe=1&from=06/20/2012&to=06/20/2012&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2012/Measure_M8.txt
M9,Measure,"Measure 9 (2012) - ATCM XXXV - CEP XV, Hobart","Antarctic Specially Protected Area No 172 (Lower Taylor Glacier and Blood Falls,Taylor Valley, McMurdo Dry Valleys, Victoria Land): Management Plan",2012,ATCM XXXV - CEP XV,Effective,Effective 31/10/2012 (Fast Approval),Area protection and management,ASPAs (Antarctic Specially Protected Areas) | Lower Taylor Glacier and Blood Falls (ASPA 172),ASPA 172 Lower Taylor Glacier and Blood Falls | https://documents.ats.aq/recatt/att513_e.pdf,103,Management Plan for ASPA No 172 annexed to this Measure revoked by Measure 6 (2018),,Fast Approval: Entered into effect on 31 Oct 2012,https://www.ats.aq/devAS/Meetings/Measure/508?s=1&iframe=1&from=06/20/2012&to=06/20/2012&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2012/Measure_M9.txt
M10,Measure,"Measure 10 (2012) - ATCM XXXV - CEP XV, Hobart",Antarctic Specially Managed Area No 4 (Deception Island): Revised Management Plan,2012,ATCM XXXV - CEP XV,Effective,Effective 31/10/2012 (Fast Approval),Area protection and management,ASMAs (Antarctic Specially Managed Areas) | Deception Island (ASMA 4),ASMA No 4 - Deception Island | https://documents.ats.aq/recatt/att512_e.pdf,103,Management Plan for ASMA No 4 annexed to this Measure revoked by Measure 10 (2019),,Fast Approval: Entered into effect on 31 Oct 2012,https://www.ats.aq/devAS/Meetings/Measure/509?s=1&iframe=1&from=06/20/2012&to=06/20/2012&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2012/Measure_M10.txt
