number,measure_type,title,subject,year,meeting_name,status,status_details,category,topics,attachments,final_report_par,memo,approvals,approvals_text,url,text_file
M1,Measure,"Measure 1 (2019) - ATCM XLII - CEP XXII, Prague","Antarctic Specially Protected Area No 123 (Barwick and Balham Valleys, Southern Victoria Land): Revised Management Plan",2019,ATCM XLII - CEP XXII,Effective,Effective 09/10/2019 (Fast Approval),Area protection and management,Barwick Valley (ASPA 123),ASPA 123 Revised Management Plan . Replaced by M5 (2023) | https://documents.ats.aq/recatt/att647_e.pdf,58,Management Plan for Antarctic Specially Protected Area No 123 annexed to this Measure revoked by Measure 5 (2023),,Fast Approval: Entered into effect on 9 Oct 2019,https://www.ats.aq/devAS/Meetings/Measure/682?s=1&iframe=1&from=07/11/2019&to=07/11/2019&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2019/Measure_M1.txt
M2,Measure,"Measure 2 (2019) - ATCM XLII - CEP XXII, Prague","Antarctic Specially Protected Area No 128 (Western shore of Admiralty Bay, King George Island, South Shetland Islands): Revised Management Plan",2019,ATCM XLII - CEP XXII,Effective,Effective 09/10/2019 (Fast Approval),Area protection and management,Admiralty Bay (ASPA 128),ASPA 128 Revised Management Plan . Replaced by M2 (2024) | https://documents.ats.aq/recatt/att648_e.pdf,58,,,Fast Approval: Entered into effect on 9 Oct 2019,https://www.ats.aq/devAS/Meetings/Measure/683?s=1&iframe=1&from=07/11/2019&to=07/11/2019&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2019/Measure_M2.txt
M3,Measure,"Measure 3 (2019) - ATCM XLII - CEP XXII, Prague","Antarctic Specially Protected Area No 141 (Yukidori Valley, Langhovde, Lützow-Holm Bay): Revised Management Plan",2019,ATCM XLII - CEP XXII,Effective,Effective 09/10/2019 (Fast Approval),Area protection and management,Yukidori Valley (ASPA 141),ASPA 141 Revised Management Plan . Replaced by M6 (2024) | https://documents.ats.aq/recatt/att649_e.pdf,58,,,Fast Approval: Entered into effect on 9 Oct 2019,https://www.ats.aq/devAS/Meetings/Measure/684?s=1&iframe=1&from=07/11/2019&to=07/11/2019&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2019/Measure_M3.txt
M4,Measure,"Measure 4 (2019) - ATCM XLII - CEP XXII, Prague",Antarctic Specially Protected Area No 142 (Svarthamaren): Revised Management Plan,2019,ATCM XLII - CEP XXII,Effective,Effective 09/10/2019 (Fast Approval),Area protection and management,Svarthamaren (ASPA 142),ASPA 142 Revised Management Plan . Replaced by M7 (2024) | https://documents.ats.aq/recatt/att650_e.pdf,58,,,Fast Approval: Entered into effect on 9 Oct 2019,https://www.ats.aq/devAS/Meetings/Measure/685?s=1&iframe=1&from=07/11/2019&to=07/11/2019&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2019/Measure_M4.txt
M5,Measure,"Measure 5 (2019) - ATCM XLII - CEP XXII, Prague","Antarctic Specially Protected Area No 151 (Lions Rump, King George Island, South Shetland Islands): Revised Management Plan",2019,ATCM XLII - CEP XXII,Effective,Effective 09/10/2019 (Fast Approval),Area protection and management,Lions Rump (ASPA 151),ASPA 151 Revised Management Plan . Replaced by M8 (2024) | https://documents.ats.aq/recatt/att651_e.pdf,58,,,Fast Approval: Entered into effect on 9 Oct 2019,https://www.ats.aq/devAS/Meetings/Measure/686?s=1&iframe=1&from=07/11/2019&to=07/11/2019&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2019/Measure_M5.txt
M6,Measure,"Measure 6 (2019) - ATCM XLII - CEP XXII, Prague","Antarctic Specially Protected Area No 154 (Botany Bay, Cape Geology, Victoria Land): Revised Management Plan",2019,ATCM XLII - CEP XXII,Effective,Effective 09/10/2019 (Fast Approval),Area protection and management,Botany Bay (ASPA 154),ASPA 154 Revised Management Plan . Replaced by M9 (2024) | https://documents.ats.aq/recatt/att652_e.pdf,58,,,Fast Approval: Entered into effect on 9 Oct 2019,https://www.ats.aq/devAS/Meetings/Measure/687?s=1&iframe=1&from=07/11/2019&to=07/11/2019&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2019/Measure_M6.txt
M7,Measure,"Measure 7 (2019) - ATCM XLII - CEP XXII, Prague","Antarctic Specially Protected Area No 161 (Terra Nova Bay, Ross Sea): Revised Management Plan",2019,ATCM XLII - CEP XXII,Effective,Effective 09/10/2019 (Fast Approval),Area protection and management,Terra Nova Bay (ASPA 161),ASPA 161 Revised Management Plan . Replaced by M11 (2024) | https://documents.ats.aq/recatt/att653_e.pdf,58,,,Fast Approval: Entered into effect on 9 Oct 2019,https://www.ats.aq/devAS/Meetings/Measure/688?s=1&iframe=1&from=07/11/2019&to=07/11/2019&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2019/Measure_M7.txt
M8,Measure,"Measure 8 (2019) - ATCM XLII - CEP XXII, Prague","Antarctic Specially Protected Area No 171 (Narębski Point, Barton Peninsula, King George Island): Revised Management Plan",2019,ATCM XLII - CEP XXII,Effective,Effective 09/10/2019 (Fast Approval),Area protection and management,Narębski Point (ASPA 171),ASPA 171 Revised Management Plan . Replaced by M12 (2024) | https://documents.ats.aq/recatt/att654_e.pdf,58,,,Fast Approval: Entered into effect on 9 Oct 2019,https://www.ats.aq/devAS/Meetings/Measure/689?s=1&iframe=1&from=07/11/2019&to=07/11/2019&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2019/Measure_M8.txt
M9,Measure,"Measure 9 (2019) - ATCM XLII - CEP XXII, Prague","Antarctic Specially Protected Area No 173 (Cape Washington and Silverfish Bay, Terra Nova Bay, Ross Sea): Revised Management Plan",2019,ATCM XLII - CEP XXII,Effective,Effective 09/10/2019 (Fast Approval),Area protection and management,"Cape Washington and Silverfish Bay, Terra Nova Bay, Ross Sea (ASPA 173)",ASPA 173 Revised Management Plan . Replaced by M13 (2024) | https://documents.ats.aq/recatt/att655_e.pdf,58,,,Fast Approval: Entered into effect on 9 Oct 2019,https://www.ats.aq/devAS/Meetings/Measure/690?s=1&iframe=1&from=07/11/2019&to=07/11/2019&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2019/Measure_M9.txt
M10,Measure,"Measure 10 (2019) - ATCM XLII - CEP XXII, Prague",Antarctic Specially Managed Area No 4 (Deception Island): Revised Management Plan,2019,ATCM XLII - CEP XXII,Effective,Effective 09/10/2019 (Fast Approval),Area protection and management,Deception Island (ASMA 4),ASMA 4 Revised Management Plan | https://documents.ats.aq/recatt/att656_e.pdf,58,,,Fast Approval: Entered into effect on 9 Oct 2019,https://www.ats.aq/devAS/Meetings/Measure/691?s=1&iframe=1&from=07/11/2019&to=07/11/2019&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2019/Measure_M10.txt
M11,Measure,"Measure 11 (2019) - ATCM XLII - CEP XXII, Prague",Antarctic Specially Managed Area No 7 (Southwest Anvers Island and Palmer Basin): Revised Management Plan,2019,ATCM XLII - CEP XXII,Effective,Effective 09/10/2019 (Fast Approval),Area protection and management,Southwest Anvers island and Palmer Basin (ASMA 7),ASMA 7 Management Plan . Replaced by M1 (2022) | https://documents.ats.aq/recatt/att658_e.pdf,58,Management Plan for Antarctic Specially Managed Area No 7 annexed to this Measure revoked by Measure 1 (2022),,Fast Approval: Entered into effect on 9 Oct 2019,https://www.ats.aq/devAS/Meetings/Measure/692?s=1&iframe=1&from=07/11/2019&to=07/11/2019&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2019/Measure_M11.txt
M12,Measure,"Measure 12 (2019) - ATCM XLII - CEP XXII, Prague",Revised List of Antarctic Historic Sites and Monuments: the Wreck of Sir Ernest Shackleton’s vessel Endurance and C.A. Larsen Multiexpedition cairn,2019,ATCM XLII - CEP XXII,Effective,Effective 09/10/2019 (Fast Approval),Area protection and management | Historic Sites and Monuments,"C.A. Larsen Multiexpedition cairn (HSM 94) | Endurance, Wreck of the vessel owned and used by Sir Ernest Shackleton during his 1914-15 Trans-Antarctic Expedition (HSM 93) | HSMs - general",Revised List of Historic Sites and Monuments . Replaced by M23 (2021) | https://documents.ats.aq/recatt/att659_e.pdf,64,List of Historic Sites and Monuments revised and updated by Measure 23 (2021),,Fast Approval: Entered into effect on 9 Oct 2019,https://www.ats.aq/devAS/Meetings/Measure/693?s=1&iframe=1&from=07/11/2019&to=07/11/2019&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2019/Measure_M12.txt
