number,measure_type,title,subject,year,meeting_name,status,status_details,category,topics,attachments,final_report_par,memo,approvals,approvals_text,url,text_file
I,Recommendation,"Recommendation I-I (ATCM I - Canberra, 1961)",Exchange of information on scientific programmes.,1961,ATCM I,Effective,Effective 30/04/1962,Information exchange,Research plans,,9,,20/09/1961 | Argentina * || 06/10/1961 | Australia * || 16/02/1962 | Belgium * || 27/10/1986 | Brazil || | Bulgaria || 19/04/1962 | Chile * || 11/12/1985 | China || | Czechia || | Ecuador || | Finland || 06/03/1962 | France * || 17/02/1981 | Germany || 07/03/1988 | India || 22/04/1987 | Italy || 20/01/1962 | Japan * || 10/05/1995 | Korea (ROK) || 10/10/2003 | Netherlands || 04/10/1961 | New Zealand * || 02/03/1962 | Norway * || | Peru || 11/07/1977 | Poland || 15/12/1961 | Russian Federation * || 30/04/1962 | South Africa * || 08/04/1988 | Spain || | Sweden || | Ukraine || 01/12/1961 | United Kingdom * || 12/12/1961 | United States * || 10/10/1989 | Uruguay,*Parties whose approval is needed for the Measure to enter into effect (Art. IX.4 of the Treaty),https://www.ats.aq/devAS/Meetings/Measure/2?s=1&iframe=1&from=07/24/1961&to=07/24/1961&cat=0&top=0&type=1&stat=4&txt=&curr=0,data_raw/measure_texts/1961/Recommendation_I.txt
II,Recommendation,"Recommendation I-II (ATCM I - Canberra, 1961)",Exchange of scientific personnel,1961,ATCM I,Effective,Effective 30/04/1962,Scientific cooperation,Personnel exchange,,9,,20/09/1961 | Argentina * || 06/10/1961 | Australia * || 16/02/1962 | Belgium * || 27/10/1986 | Brazil || | Bulgaria || 19/04/1962 | Chile * || 11/12/1985 | China || | Czechia || | Ecuador || | Finland || 06/03/1962 | France * || 17/02/1981 | Germany || 07/03/1988 | India || 22/04/1987 | Italy || 20/01/1962 | Japan * || 10/05/1995 | Korea (ROK) || 10/10/2003 | Netherlands || 04/10/1961 | New Zealand * || 02/03/1962 | Norway * || | Peru || 11/07/1977 | Poland || 15/12/1961 | Russian Federation * || 30/04/1962 | South Africa * || 08/04/1988 | Spain || | Sweden || | Ukraine || 01/12/1961 | United Kingdom * || 12/12/1961 | United States * || 10/10/1989 | Uruguay,*Parties whose approval is needed for the Measure to enter into effect (Art. IX.4 of the Treaty),https://www.ats.aq/devAS/Meetings/Measure/3?s=1&iframe=1&from=07/24/1961&to=07/24/1961&cat=0&top=0&type=1&stat=4&txt=&curr=0,data_raw/measure_texts/1961/Recommendation_II.txt
III,Recommendation,"Recommendation I-III (ATCM I - Canberra, 1961)",Exchange and availability of scientific data,1961,ATCM I,Effective,Effective 30/04/1962,Scientific cooperation,Data access and exchange,,9,,20/09/1961 | Argentina * || 06/10/1961 | Australia * || 16/02/1962 | Belgium * || 27/10/1986 | Brazil || | Bulgaria || 19/04/1962 | Chile * || 11/12/1985 | China || | Czechia || | Ecuador || | Finland || 06/03/1962 | France * || 17/02/1981 | Germany || 07/03/1988 | India || 22/04/1987 | Italy || 20/01/1962 | Japan * || 10/05/1995 | Korea (ROK) || 10/10/2003 | Netherlands || 04/10/1961 | New Zealand * || 02/03/1962 | Norway * || | Peru || 11/07/1977 | Poland || 15/12/1961 | Russian Federation * || 30/04/1962 | South Africa * || 08/04/1988 | Spain || | Sweden || | Ukraine || 01/12/1961 | United Kingdom * || 12/12/1961 | United States * || 10/10/1989 | Uruguay,*Parties whose approval is needed for the Measure to enter into effect (Art. IX.4 of the Treaty),https://www.ats.aq/devAS/Meetings/Measure/4?s=1&iframe=1&from=07/24/1961&to=07/24/1961&cat=0&top=0&type=1&stat=4&txt=&curr=0,data_raw/measure_texts/1961/Recommendation_III.txt
IV,Recommendation,"Recommendation I-IV (ATCM I - Canberra, 1961)",Advisory work of SCAR,1961,ATCM I,Effective,Effective 30/04/1962,Scientific cooperation,SCAR (Scientific Committee on Antarctic Research),,9,,20/09/1961 | Argentina * || 06/10/1961 | Australia * || 16/02/1962 | Belgium * || 27/10/1986 | Brazil || | Bulgaria || 19/04/1962 | Chile * || 11/12/1985 | China || | Czechia || | Ecuador || | Finland || 06/03/1962 | France * || 17/02/1981 | Germany || 07/03/1988 | India || 22/04/1987 | Italy || 20/01/1962 | Japan * || 10/05/1995 | Korea (ROK) || 10/10/2003 | Netherlands || 04/10/1961 | New Zealand * || 02/03/1962 | Norway * || | Peru || 11/07/1977 | Poland || 15/12/1961 | Russian Federation * || 30/04/1962 | South Africa * || 08/04/1988 | Spain || | Sweden || | Ukraine || 01/12/1961 | United Kingdom * || 12/12/1961 | United States * || 10/10/1989 | Uruguay,*Parties whose approval is needed for the Measure to enter into effect (Art. IX.4 of the Treaty),https://www.ats.aq/devAS/Meetings/Measure/5?s=1&iframe=1&from=07/24/1961&to=07/24/1961&cat=0&top=0&type=1&stat=4&txt=&curr=0,data_raw/measure_texts/1961/Recommendation_IV.txt
V,Recommendation,"Recommendation I-V (ATCM I - Canberra, 1961)",Scientific and technical cooperation with international organisations,1961,ATCM I,Effective,Effective 30/04/1962,Scientific cooperation,WMO (World Meteorological Organisation),,9,,20/09/1961 | Argentina * || 06/10/1961 | Australia * || 16/02/1962 | Belgium * || 27/10/1986 | Brazil || | Bulgaria || 19/04/1962 | Chile * || 11/12/1985 | China || | Czechia || | Ecuador || | Finland || 06/03/1962 | France * || 17/02/1981 | Germany || 07/03/1988 | India || 22/04/1987 | Italy || 20/01/1962 | Japan * || 10/05/1995 | Korea (ROK) || 10/10/2003 | Netherlands || 04/10/1961 | New Zealand * || 02/03/1962 | Norway * || | Peru || 11/07/1977 | Poland || 15/12/1961 | Russian Federation * || 30/04/1962 | South Africa * || 08/04/1988 | Spain || | Sweden || | Ukraine || 01/12/1961 | United Kingdom * || 12/12/1961 | United States * || 10/10/1989 | Uruguay,*Parties whose approval is needed for the Measure to enter into effect (Art. IX.4 of the Treaty),https://www.ats.aq/devAS/Meetings/Measure/6?s=1&iframe=1&from=07/24/1961&to=07/24/1961&cat=0&top=0&type=1&stat=4&txt=&curr=0,data_raw/measure_texts/1961/Recommendation_V.txt
VI,Recommendation,"Recommendation I-VI (ATCM I - Canberra, 1961)",Specification of the information provided under Art. VII-5,1961,ATCM I,Effective,Effective 30/04/1962,Information exchange,Air Transport | Antarctic stations | Expeditions | Public information | Research plans,,9,,20/09/1961 | Argentina * || 06/10/1961 | Australia * || 16/02/1962 | Belgium * || 27/10/1986 | Brazil || | Bulgaria || 19/04/1962 | Chile * || 11/12/1985 | China || | Czechia || | Ecuador || | Finland || 06/03/1962 | France * || 17/02/1981 | Germany || 07/03/1988 | India || 22/04/1987 | Italy || 20/01/1962 | Japan * || 10/05/1995 | Korea (ROK) || 10/10/2003 | Netherlands || 04/10/1961 | New Zealand * || 02/03/1962 | Norway * || | Peru || 11/07/1977 | Poland || 15/12/1961 | Russian Federation * || 30/04/1962 | South Africa * || 08/04/1988 | Spain || | Sweden || | Ukraine || 01/12/1961 | United Kingdom * || 12/12/1961 | United States * || 10/10/1989 | Uruguay,*Parties whose approval is needed for the Measure to enter into effect (Art. IX.4 of the Treaty),https://www.ats.aq/devAS/Meetings/Measure/7?s=1&iframe=1&from=07/24/1961&to=07/24/1961&cat=0&top=0&type=1&stat=4&txt=&curr=0,data_raw/measure_texts/1961/Recommendation_VI.txt
VII,Recommendation,"Recommendation I-VII (ATCM I - Canberra, 1961)",Exchange of information on logistic problems,1961,ATCM I,Effective,Effective 30/04/1962. No longer current: D 1 (2014),Information exchange,Logistics,,9,,20/09/1961 | Argentina * || 06/10/1961 | Australia * || 16/02/1962 | Belgium * || 27/10/1986 | Brazil || | Bulgaria || 19/04/1962 | Chile * || 11/12/1985 | China || | Czechia || | Ecuador || | Finland || 06/03/1962 | France * || 17/02/1981 | Germany || 07/03/1988 | India || 22/04/1987 | Italy || 20/01/1962 | Japan * || 10/05/1995 | Korea (ROK) || 10/10/2003 | Netherlands || 04/10/1961 | New Zealand * || 02/03/1962 | Norway * || | Peru || 11/07/1977 | Poland || 15/12/1961 | Russian Federation * || 30/04/1962 | South Africa * || 08/04/1988 | Spain || | Sweden || | Ukraine || 01/12/1961 | United Kingdom * || 12/12/1961 | United States * || 10/10/1989 | Uruguay,*Parties whose approval is needed for the Measure to enter into effect (Art. IX.4 of the Treaty),https://www.ats.aq/devAS/Meetings/Measure/8?s=1&iframe=1&from=07/24/1961&to=07/24/1961&cat=0&top=0&type=1&stat=4&txt=&curr=0,data_raw/measure_texts/1961/Recommendation_VII.txt
VIII,Recommendation,"Recommendation I-VIII (ATCM I - Canberra, 1961)",Measures for the protection of living resources,1961,ATCM I,Effective,Effective 30/04/1962. No longer current: D 1 (2011),Fauna and flora | Environmental protection | Information exchange,Agreed Measures,General rules of conduct for preservation and conservation of living resources in Antarctica | https://documents.ats.aq/recatt/att086_e.pdf,9,,20/09/1961 | Argentina * || 06/10/1961 | Australia * || 16/02/1962 | Belgium * || 27/10/1986 | Brazil || | Bulgaria || 19/04/1962 | Chile * || 11/12/1985 | China || | Czechia || | Ecuador || | Finland || 06/03/1962 | France * || 17/02/1981 | Germany || 07/03/1988 | India || 22/04/1987 | Italy || 20/01/1962 | Japan * || 10/05/1995 | Korea (ROK) || 10/10/2003 | Netherlands || 04/10/1961 | New Zealand * || 02/03/1962 | Norway * || | Peru || 11/07/1977 | Poland || 15/12/1961 | Russian Federation * || 30/04/1962 | South Africa * || 08/04/1988 | Spain || | Sweden || | Ukraine || 01/12/1961 | United Kingdom * || 12/12/1961 | United States * || 10/10/1989 | Uruguay,*Parties whose approval is needed for the Measure to enter into effect (Art. IX.4 of the Treaty),https://www.ats.aq/devAS/Meetings/Measure/9?s=1&iframe=1&from=07/24/1961&to=07/24/1961&cat=0&top=0&type=1&stat=4&txt=&curr=0,data_raw/measure_texts/1961/Recommendation_VIII.txt
IX,Recommendation,"Recommendation I-IX (ATCM I - Canberra, 1961)","Preservation of tombs, buildings and objects of historic interest",1961,ATCM I,Effective,Effective 30/04/1962. No longer current: D 1 (2007),Historic Sites and Monuments | Area protection and management | Information exchange,HSMs - general,,9,,20/09/1961 | Argentina * || 06/10/1961 | Australia * || 16/02/1962 | Belgium * || 27/10/1986 | Brazil || | Bulgaria || 19/04/1962 | Chile * || 11/12/1985 | China || | Czechia || | Ecuador || | Finland || 06/03/1962 | France * || 17/02/1981 | Germany || 07/03/1988 | India || 22/04/1987 | Italy || 20/01/1962 | Japan * || 10/05/1995 | Korea (ROK) || 10/10/2003 | Netherlands || 04/10/1961 | New Zealand * || 02/03/1962 | Norway * || | Peru || 11/07/1977 | Poland || 15/12/1961 | Russian Federation * || 30/04/1962 | South Africa * || 08/04/1988 | Spain || | Sweden || | Ukraine || 01/12/1961 | United Kingdom * || 12/12/1961 | United States * || 10/10/1989 | Uruguay,*Parties whose approval is needed for the Measure to enter into effect (Art. IX.4 of the Treaty),https://www.ats.aq/devAS/Meetings/Measure/10?s=1&iframe=1&from=07/24/1961&to=07/24/1961&cat=0&top=0&type=1&stat=4&txt=&curr=0,data_raw/measure_texts/1961/Recommendation_IX.txt
X,Recommendation,"Recommendation I-X (ATCM I - Canberra, 1961)",Principle of emergency assistance,1961,ATCM I,Effective,Effective 30/04/1962,Operational matters,Emergency response,,9,,20/09/1961 | Argentina * || 06/10/1961 | Australia * || 16/02/1962 | Belgium * || 27/10/1986 | Brazil || | Bulgaria || 19/04/1962 | Chile * || 11/12/1985 | China || | Czechia || | Ecuador || | Finland || 06/03/1962 | France * || 17/02/1981 | Germany || 07/03/1988 | India || 22/04/1987 | Italy || 20/01/1962 | Japan * || 10/05/1995 | Korea (ROK) || 10/10/2003 | Netherlands || 04/10/1961 | New Zealand * || 02/03/1962 | Norway * || | Peru || 11/07/1977 | Poland || 15/12/1961 | Russian Federation * || 30/04/1962 | South Africa * || 08/04/1988 | Spain || | Sweden || | Ukraine || 01/12/1961 | United Kingdom * || 12/12/1961 | United States * || 10/10/1989 | Uruguay,*Parties whose approval is needed for the Measure to enter into effect (Art. IX.4 of the Treaty),https://www.ats.aq/devAS/Meetings/Measure/11?s=1&iframe=1&from=07/24/1961&to=07/24/1961&cat=0&top=0&type=1&stat=4&txt=&curr=0,data_raw/measure_texts/1961/Recommendation_X.txt
