number,measure_type,title,subject,year,meeting_name,status,status_details,category,topics,attachments,final_report_par,memo,approvals,approvals_text,url,text_file
M1,Measure,"Measure 1 (2011) - ATCM XXXIV - CEP XIV, Buenos Aires","ASPA No 116 (New College Valley, Caughley Beach, Cape Bird, Ross Island): Revised Management Plan",2011,ATCM XXXIV - CEP XIV,Effective,Effective 29/09/2011 (Fast Approval),Area protection and management,ASPAs (Antarctic Specially Protected Areas) | New College Valley (ASPA 116),ASPA No 116 - New College Valley | https://documents.ats.aq/recatt/att467_e.pdf,114,Management Plan for ASPA No 116 annexed to this Measure revoked by Measure 1 (2016),,Fast Approval: Entered into effect on 29 Sep 2011,https://www.ats.aq/devAS/Meetings/Measure/479?s=1&iframe=1&from=07/01/2011&to=07/01/2011&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2011/Measure_M1.txt
M2,Measure,"Measure 2 (2011) - ATCM XXXIV - CEP XIV, Buenos Aires","ASPA No 120 (Pointe-Géologie Archipelago, Terre Adélie): Revised Management Plan",2011,ATCM XXXIV - CEP XIV,Effective,Effective 29/09/2011 (Fast Approval),Area protection and management,ASPAs (Antarctic Specially Protected Areas) | Pointe-Geologie (ASPA 120),ASPA No 120 - Pointe-Géologie Archipelago | https://documents.ats.aq/recatt/att472_e.pdf,114,Management Plan for ASPA No 120 annexed to this Measure revoked by Measure 2 (2016),,Fast Approval: Entered into effect on 29 Sep 2011,https://www.ats.aq/devAS/Meetings/Measure/480?s=1&iframe=1&from=07/01/2011&to=07/01/2011&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2011/Measure_M2.txt
M3,Measure,"Measure 3 (2011) - ATCM XXXIV - CEP XIV, Buenos Aires","ASPA No 122 (Arrival Heights, Hut Point Peninsula, Ross Island): Revised Management Plan",2011,ATCM XXXIV - CEP XIV,Effective,Effective 29/09/2011 (Fast Approval),Area protection and management,Arrival Heights (ASPA 122) | ASPAs (Antarctic Specially Protected Areas),ASPA No 122 - Arrival Heights | https://documents.ats.aq/recatt/att473_e.pdf,114,Management Plan for ASPA No 122 annexed to this Measure revoked by Measure 3 (2016),,Fast Approval: Entered into effect on 29 Sep 2011,https://www.ats.aq/devAS/Meetings/Measure/481?s=1&iframe=1&from=07/01/2011&to=07/01/2011&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2011/Measure_M3.txt
M4,Measure,"Measure 4 (2011) - ATCM XXXIV - CEP XIV, Buenos Aires","ASPA No 126 (Byers Peninsula, Livingston Island, South Shetland Islands): Revised Management Plan",2011,ATCM XXXIV - CEP XIV,Effective,Effective 29/09/2011 (Fast Approval),Area protection and management,ASPAs (Antarctic Specially Protected Areas) | Byers Peninsula (ASPA 126),ASPA No 126 - Byers Peninsula | https://documents.ats.aq/recatt/att474_e.pdf,114,Management Plan for ASPA No 126 annexed to this Measure revoked by Measure 4 (2016),,Fast Approval: Entered into effect on 29 Sep 2011,https://www.ats.aq/devAS/Meetings/Measure/482?s=1&iframe=1&from=07/01/2011&to=07/01/2011&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2011/Measure_M4.txt
M5,Measure,"Measure 5 (2011) - ATCM XXXIV - CEP XIV, Buenos Aires",ASPA No 127 (Haswell Island): Revised Management Plan,2011,ATCM XXXIV - CEP XIV,Effective,Effective 29/09/2011 (Fast Approval),Area protection and management,ASPAs (Antarctic Specially Protected Areas) | Haswell Island (ASPA 127),ASPA No 127 - Haswell Island | https://documents.ats.aq/recatt/att475_e.pdf,114,Management Plan for ASPA No 127 annexed to this Measure revoked by Measure 5 (2016),,Fast Approval: Entered into effect on 29 Sep 2011,https://www.ats.aq/devAS/Meetings/Measure/483?s=1&iframe=1&from=07/01/2011&to=07/01/2011&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2011/Measure_M5.txt
M6,Measure,"Measure 6 (2011) - ATCM XXXIV - CEP XIV, Buenos Aires","ASPA No 131 (Canada Glacier, Lake Fryxell, Taylor Valley, Victoria Land): Revised Management Plan",2011,ATCM XXXIV - CEP XIV,Effective,Effective 29/09/2011 (Fast Approval),Area protection and management,ASPAs (Antarctic Specially Protected Areas) | Canada Glacier (ASPA 131),ASPA No 131 - Canada Glacier | https://documents.ats.aq/recatt/att478_e.pdf,114,Management Plan for ASPA No 131 annexed to this Measure revoked by Measure 6 (2016),,Fast Approval: Entered into effect on 29 Sep 2011,https://www.ats.aq/devAS/Meetings/Measure/484?s=1&iframe=1&from=07/01/2011&to=07/01/2011&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2011/Measure_M6.txt
M7,Measure,"Measure 7 (2011) - ATCM XXXIV - CEP XIV, Buenos Aires","ASPA No 149 (Cape Shirreff and San Telmo Island, Livingston Island, South Shetland Islands): Revised Management Plan",2011,ATCM XXXIV - CEP XIV,Effective,Effective 29/09/2011 (Fast Approval),Area protection and management,ASPAs (Antarctic Specially Protected Areas) | Cape Shirreff (ASPA 149),ASPA No 149 - Cape Shirreff and San Telmo Island | https://documents.ats.aq/recatt/att479_e.pdf,114,Management Plan for ASPA No 149 annexed to this Measure revoked by Measure 7 (2016),,Fast Approval: Entered into effect on 29 Sep 2011,https://www.ats.aq/devAS/Meetings/Measure/485?s=1&iframe=1&from=07/01/2011&to=07/01/2011&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2011/Measure_M7.txt
M8,Measure,"Measure 8 (2011) - ATCM XXXIV - CEP XIV, Buenos Aires","ASPA No 165 (Edmonson Point, Wood Bay, Ross Sea): Revised Management Plan",2011,ATCM XXXIV - CEP XIV,Effective,Effective 29/09/2011 (Fast Approval),Area protection and management,ASPAs (Antarctic Specially Protected Areas) | Edmonson Point (ASPA 165),ASPA No 165 - Edmonson Point | https://documents.ats.aq/recatt/att480_e.pdf,114,Management Plan for ASPA No 165 annexed to this Measure revoked by Measure 7 (2017),,Fast Approval: Entered into effect on 29 Sep 2011,https://www.ats.aq/devAS/Meetings/Measure/486?s=1&iframe=1&from=07/01/2011&to=07/01/2011&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2011/Measure_M8.txt
M9,Measure,"Measure 9 (2011) - ATCM XXXIV - CEP XIV, Buenos Aires","ASPA No 167 (Hawker Island, Vestfold Hills, Ingrid Christensen Coast, Princess Elizabeth Land, East Antarctica): Revised Management Plan",2011,ATCM XXXIV - CEP XIV,Effective,Effective 29/09/2011 (Fast Approval),Area protection and management,ASPAs (Antarctic Specially Protected Areas) | Hawker Island (ASPA 167),ASPA No. 167 - Hawker Island | https://documents.ats.aq/recatt/att481_e.pdf,114,Management Plan for ASPA No 167 annexed to this Measure revoked by Measure 8 (2016),,Fast Approval: Entered into effect on 29 Sep 2011,https://www.ats.aq/devAS/Meetings/Measure/487?s=1&iframe=1&from=07/01/2011&to=07/01/2011&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2011/Measure_M9.txt
M10,Measure,"Measure 10 (2011) - ATCM XXXIV - CEP XIV, Buenos Aires","ASMA No 2 (McMurdo Dry Valleys, Southern Victoria Land): Revised Management Plan",2011,ATCM XXXIV - CEP XIV,Effective,Effective 29/09/2011 (Fast Approval),Area protection and management,ASMAs (Antarctic Specially Managed Areas) | McMurdo Dry Valleys (ASMA 2),ASMA No 2 - McMurdo Dry Valleys | https://documents.ats.aq/recatt/att482_e.pdf,114,Management Plan for ASMA No 2 annexed to this Measure revoked by Measure 18 (2015),,Fast Approval: Entered into effect on 29 Sep 2011,https://www.ats.aq/devAS/Meetings/Measure/488?s=1&iframe=1&from=07/01/2011&to=07/01/2011&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2011/Measure_M10.txt
