number,measure_type,title,subject,year,meeting_name,status,status_details,category,topics,attachments,final_report_par,memo,approvals,approvals_text,url,text_file
M1,Measure,"Measure 1 (2009) - ATCM XXXII - CEP XII, Baltimore",Revised Management Plan for ASMA 3 (Cape Denison),2009,ATCM XXXII - CEP XII,Effective,Effective 16/07/2009 (Fast Approval),Area protection and management,ASMAs (Antarctic Specially Managed Areas) | Cape Denison (ASMA 3),ASMA 3 - Management Plan | https://documents.ats.aq/recatt/att411_e.pdf,87,Management Plan revoked by Measure 9 (2014). ASMA No.3 shall not be used as a future designation.,,Fast Approval: Entered into effect on 16 Jul 2009,https://www.ats.aq/devAS/Meetings/Measure/418?s=1&iframe=1&from=04/17/2009&to=04/17/2009&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2009/Measure_M1.txt
M2,Measure,"Measure 2 (2009) - ATCM XXXII - CEP XII, Baltimore",Revised Management Plan for ASMA 7 (Southwest Anvers Island and Palmer Basin),2009,ATCM XXXII - CEP XII,Effective,Effective 16/07/2009 (Fast Approval). No longer current: M 14 (2010),Area protection and management,ASMAs (Antarctic Specially Managed Areas) | Southwest Anvers island and Palmer Basin (ASMA 7),ASMA 7 - Management Plan | https://documents.ats.aq/recatt/att410_e.pdf,87,Management Plan for ASMA 7 not effective by Measure 2 (2009),,Fast Approval: Entered into effect on 16 Jul 2009,https://www.ats.aq/devAS/Meetings/Measure/419?s=1&iframe=1&from=04/17/2009&to=04/17/2009&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2009/Measure_M2.txt
M3,Measure,"Measure 3 (2009) - ATCM XXXII - CEP XII, Baltimore",Adoption of Management Plan for ASPA 104 (Sabrina Island),2009,ATCM XXXII - CEP XII,Effective,Effective 16/07/2009 (Fast Approval),Area protection and management,ASPAs (Antarctic Specially Protected Areas) | Sabrina Island (ASPA 104),ASPA 104 - Management Plan | https://documents.ats.aq/recatt/att421_e.pdf,87,Management Plan for ASPA No 104 annexed to this Measure revoked by Measure 4 (2015),,Fast Approval: Entered into effect on 16 Jul 2009,https://www.ats.aq/devAS/Meetings/Measure/420?s=1&iframe=1&from=04/17/2009&to=04/17/2009&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2009/Measure_M3.txt
M4,Measure,"Measure 4 (2009) - ATCM XXXII - CEP XII, Baltimore",Revised Management Plan for ASPA 113 (Litchfield Island),2009,ATCM XXXII - CEP XII,Effective,Effective 16/07/2009 (Fast Approval),Area protection and management,Litchfield Island (ASPA 113),ASPA 113 - Management Plan | https://documents.ats.aq/recatt/att422_e.pdf,87,Management Plan revoked by Measure 1 (2014),,Fast Approval: Entered into effect on 16 Jul 2009,https://www.ats.aq/devAS/Meetings/Measure/421?s=1&iframe=1&from=04/17/2009&to=04/17/2009&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2009/Measure_M4.txt
M5,Measure,"Measure 5 (2009) - ATCM XXXII - CEP XII, Baltimore",Revised Management Plan for ASPA 121 (Cape Royds),2009,ATCM XXXII - CEP XII,Effective,Effective 16/07/2009 (Fast Approval),Area protection and management,Cape Royds (ASPA 121),ASPA 121 - Management Plan | https://documents.ats.aq/recatt/att423_e.pdf,87,Management Plan revoked by Measure 2 (2014),,Fast Approval: Entered into effect on 16 Jul 2009,https://www.ats.aq/devAS/Meetings/Measure/422?s=1&iframe=1&from=04/17/2009&to=04/17/2009&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2009/Measure_M5.txt
M6,Measure,"Measure 6 (2009) - ATCM XXXII - CEP XII, Baltimore",Revised Management Plan for ASPA 125 (Fildes Peninsula),2009,ATCM XXXII - CEP XII,Effective,Effective 16/07/2009 (Fast Approval),Area protection and management,Fildes Peninsula (ASPA 125),ASPA 125 - Management Plan | https://documents.ats.aq/recatt/att424_e.pdf,87,,,Fast Approval: Entered into effect on 16 Jul 2009,https://www.ats.aq/devAS/Meetings/Measure/423?s=1&iframe=1&from=04/17/2009&to=04/17/2009&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2009/Measure_M6.txt
M7,Measure,"Measure 7 (2009) - ATCM XXXII - CEP XII, Baltimore",Revised Management Plan for ASPA 136 (Clark Peninsula),2009,ATCM XXXII - CEP XII,Effective,Effective 16/07/2009 (Fast Approval),Area protection and management,Clark Peninsula (ASPA 136),ASPA 136 - Management Plan | https://documents.ats.aq/recatt/att425_e.pdf,87,Management Plan revoked by Measure 5 (2014),,Fast Approval: Entered into effect on 16 Jul 2009,https://www.ats.aq/devAS/Meetings/Measure/424?s=1&iframe=1&from=04/17/2009&to=04/17/2009&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2009/Measure_M7.txt
M8,Measure,"Measure 8 (2009) - ATCM XXXII - CEP XII, Baltimore",Revised Management Plan for ASPA 142 (Svarthamaren),2009,ATCM XXXII - CEP XII,Effective,Effective 16/07/2009 (Fast Approval),Area protection and management,Svarthamaren (ASPA 142),ASPA 142 Management Plan | https://documents.ats.aq/recatt/att426_e.pdf,87,Management Plan revoked by Measure 8 (2014),,Fast Approval: Entered into effect on 16 Jul 2009,https://www.ats.aq/devAS/Meetings/Measure/425?s=1&iframe=1&from=04/17/2009&to=04/17/2009&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2009/Measure_M8.txt
M9,Measure,"Measure 9 (2009) - ATCM XXXII - CEP XII, Baltimore",Revised Management Plan for ASPA 150 (Ardley Island),2009,ATCM XXXII - CEP XII,Effective,Effective 16/07/2009 (Fast Approval),Area protection and management,Ardley Island (ASPA 150),ASPA 150 - Management Plan | https://documents.ats.aq/recatt/att427_e.pdf,87,Management Plan for ASPA No 157 annexed to this Measure revoked by Measure 12 (2015),,Fast Approval: Entered into effect on 16 Jul 2009,https://www.ats.aq/devAS/Meetings/Measure/426?s=1&iframe=1&from=04/17/2009&to=04/17/2009&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2009/Measure_M9.txt
M10,Measure,"Measure 10 (2009) - ATCM XXXII - CEP XII, Baltimore",Revised Management Plan for ASPA 152 (Western Bransfield Strait),2009,ATCM XXXII - CEP XII,Effective,Effective 16/07/2009 (Fast Approval),Area protection and management,Bransfield Strait (ASPA 152),ASPA 152 - Management Plan | https://documents.ats.aq/recatt/att428_e.pdf,87,Management Plan for ASPA No 152 annexed to this Measure revoked by Measure 9 (2015),,Fast Approval: Entered into effect on 16 Jul 2009,https://www.ats.aq/devAS/Meetings/Measure/427?s=1&iframe=1&from=04/17/2009&to=04/17/2009&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2009/Measure_M10.txt
M11,Measure,"Measure 11 (2009) - ATCM XXXII - CEP XII, Baltimore",Revised Management Plan for ASPA 153 (Eastern Dallmann Bay),2009,ATCM XXXII - CEP XII,Effective,Effective 16/07/2009 (Fast Approval),Area protection and management,Dallmann Bay (ASPA 153),ASPA 153 - Management Plan | https://documents.ats.aq/recatt/att429_e.pdf,87,Management Plan for ASPA No 153 annexed to this Measure revoked by Measure 10 (2015),,Fast Approval: Entered into effect on 16 Jul 2009,https://www.ats.aq/devAS/Meetings/Measure/428?s=1&iframe=1&from=04/17/2009&to=04/17/2009&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2009/Measure_M11.txt
M12,Measure,"Measure 12 (2009) - ATCM XXXII - CEP XII, Baltimore",Revised Management Plan for ASPA 162 (Mawson’s Huts),2009,ATCM XXXII - CEP XII,Effective,Effective 16/07/2009 (Fast Approval),Area protection and management,Mawson's Huts (ASPA 162),ASPA 162 - Management Plan | https://documents.ats.aq/recatt/att430_e.pdf,87,Management Plan revoked by Measure 9 (2014),,Fast Approval: Entered into effect on 16 Jul 2009,https://www.ats.aq/devAS/Meetings/Measure/429?s=1&iframe=1&from=04/17/2009&to=04/17/2009&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2009/Measure_M12.txt
