number,measure_type,title,subject,year,meeting_name,status,status_details,category,topics,attachments,final_report_par,memo,approvals,approvals_text,url,text_file
1,Recommendation,"Recommendation VIII-1 (ATCM VIII - Oslo, 1975)",Designation of SPA 17 (Litchfield Island),1975,ATCM VIII,Effective,Effective 28/04/2005,Area protection and management,Litchfield Island (ASPA 113) | SPAs (Specially Protected Areas),SPA 17 - Map | https://documents.ats.aq/recatt/att114_e.pdf,8,,23/04/1977 | Argentina * || 01/09/1980 | Australia * || 25/01/1978 | Belgium * || 27/10/1986 | Brazil || | Bulgaria || 22/12/1976 | Chile * || 11/12/1985 | China || | Czechia || | Ecuador || | Finland || 08/09/1977 | France * || 28/04/2005 | Germany || 07/03/1988 | India || 22/04/1987 | Italy || 01/11/1982 | Japan * || 10/05/1995 | Korea (ROK) || 10/10/2003 | Netherlands || 30/06/1977 | New Zealand * || 17/12/1976 | Norway * || | Peru || 11/07/1977 | Poland || 14/11/1977 | Russian Federation * || 20/08/1976 | South Africa * || 08/04/1988 | Spain || | Sweden || | Ukraine || 01/09/1977 | United Kingdom * || 31/07/1979 | United States * || 10/10/1989 | Uruguay,*Parties whose approval is needed for the Measure to enter into effect (Art. IX.4 of the Treaty),https://www.ats.aq/devAS/Meetings/Measure/101?s=1&iframe=1&from=06/20/1975&to=06/20/1975&cat=0&top=0&type=1&stat=4&txt=&curr=0,data_raw/measure_texts/1975/Recommendation_1.txt
2,Recommendation,"Recommendation VIII-2 (ATCM VIII - Oslo, 1975)","Termination of SPA 6 (Cape Crozier), 10 (Byers Peninsula), 12 (Fildes Peninsula)",1975,ATCM VIII,Effective,Effective 01/11/1982. No longer current: D 1 (2011),Area protection and management,Byers Peninsula (ASPA 126) | Cape Crozier (ASPA 124) | Fildes Peninsula (ASPA 125) | SPAs (Specially Protected Areas),,8,,23/04/1977 | Argentina * || 01/09/1980 | Australia * || 25/01/1978 | Belgium * || 27/10/1986 | Brazil || | Bulgaria || 22/12/1976 | Chile * || 11/12/1985 | China || | Czechia || | Ecuador || | Finland || 08/09/1977 | France * || | Germany || 07/03/1988 | India || 22/04/1987 | Italy || 01/11/1982 | Japan * || 10/05/1995 | Korea (ROK) || 10/10/2003 | Netherlands || 30/06/1977 | New Zealand * || 17/12/1976 | Norway * || | Peru || 11/07/1977 | Poland || 14/11/1977 | Russian Federation * || 20/08/1976 | South Africa * || 08/04/1988 | Spain || | Sweden || | Ukraine || 01/09/1977 | United Kingdom * || 31/07/1979 | United States * || 10/10/1989 | Uruguay,*Parties whose approval is needed for the Measure to enter into effect (Art. IX.4 of the Treaty),https://www.ats.aq/devAS/Meetings/Measure/102?s=1&iframe=1&from=06/20/1975&to=06/20/1975&cat=0&top=0&type=1&stat=4&txt=&curr=0,data_raw/measure_texts/1975/Recommendation_2.txt
3,Recommendation,"Recommendation VIII-3 (ATCM VIII - Oslo, 1975)",Institution of SSSIs,1975,ATCM VIII,Effective,Effective 01/09/1980. No longer current: D 1 (2007),Area protection and management,SCAR (Scientific Committee on Antarctic Research) | SSSIs (Sites of Special Scientific Interest),,8,,23/04/1977 | Argentina * || 01/09/1980 | Australia * || 21/01/1977 | Belgium * || 27/10/1986 | Brazil || | Bulgaria || 22/12/1976 | Chile * || 11/12/1985 | China || | Czechia || | Ecuador || | Finland || 08/09/1977 | France * || 17/02/1981 | Germany || 07/03/1988 | India || 22/04/1987 | Italy || 16/12/1978 | Japan * || 10/05/1995 | Korea (ROK) || 10/10/2003 | Netherlands || 30/06/1977 | New Zealand * || 17/12/1976 | Norway * || | Peru || 11/07/1977 | Poland || 14/11/1977 | Russian Federation * || 20/08/1976 | South Africa * || 08/04/1988 | Spain || | Sweden || | Ukraine || 01/09/1977 | United Kingdom * || 08/04/1977 | United States * || 10/10/1989 | Uruguay,*Parties whose approval is needed for the Measure to enter into effect (Art. IX.4 of the Treaty),https://www.ats.aq/devAS/Meetings/Measure/103?s=1&iframe=1&from=06/20/1975&to=06/20/1975&cat=0&top=0&type=1&stat=4&txt=&curr=0,data_raw/measure_texts/1975/Recommendation_3.txt
4,Recommendation,"Recommendation VIII-4 (ATCM VIII - Oslo, 1975)","Designation of SSSI 1(Cape Royds), 2 (Arrival Heights), 3 (Barwick Valley), 4 (Cape Crozier), 5 (Fildes Peninsula), 6 (Byers Peninsula), 7 (Haswell Island)",1975,ATCM VIII,Effective,Effective 01/09/1980,Area protection and management,Arrival Heights (ASPA 122) | Barwick Valley (ASPA 123) | Byers Peninsula (ASPA 126) | Cape Crozier (ASPA 124) | Cape Royds (ASPA 121) | Fildes Peninsula (ASPA 125) | Haswell Island (ASPA 127),SSSI 1 - Management Plan SSSI 2 - Management Plan SSSI 3 - Management Plan SSSI 4 - Management Plan SSSI 5 - Management Plan SSSI 6 - Management Plan SSSI 7 - Management Plan | https://documents.ats.aq/recatt/att115_e.pdf,8,Management Plan for SSSI 7 not effective by Measure 5 (2011) Management Plan for SSSI 5 not effective by Measure 6 (2009) Management Plan for SSSI 4 not effective by Measure 7 (2008),23/04/1977 | Argentina * || 01/09/1980 | Australia * || 25/01/1978 | Belgium * || 27/10/1986 | Brazil || | Bulgaria || 22/12/1976 | Chile * || 11/12/1985 | China || | Czechia || | Ecuador || | Finland || 08/09/1977 | France * || 17/02/1981 | Germany || 07/03/1988 | India || 22/04/1987 | Italy || 16/12/1978 | Japan * || 10/05/1995 | Korea (ROK) || 10/10/2003 | Netherlands || 30/06/1977 | New Zealand * || 17/12/1976 | Norway * || | Peru || 11/07/1977 | Poland || 14/11/1977 | Russian Federation * || 20/08/1976 | South Africa * || 08/04/1988 | Spain || | Sweden || | Ukraine || 01/09/1977 | United Kingdom * || 08/04/1977 | United States * || 10/10/1989 | Uruguay,*Parties whose approval is needed for the Measure to enter into effect (Art. IX.4 of the Treaty),https://www.ats.aq/devAS/Meetings/Measure/104?s=1&iframe=1&from=06/20/1975&to=06/20/1975&cat=0&top=0&type=1&stat=4&txt=&curr=0,data_raw/measure_texts/1975/Recommendation_4.txt
5,Recommendation,"Recommendation VIII-5 (ATCM VIII - Oslo, 1975)",Modification of Agreed Measures on SPA entry permits,1975,ATCM VIII,Effective,Effective 01/11/1982. No longer current: D 1 (2007),Fauna and flora | Area protection and management,Agreed Measures | SPAs (Specially Protected Areas),,8,,23/04/1977 | Argentina * || 01/09/1980 | Australia * || 25/01/1978 | Belgium * || 27/10/1986 | Brazil || | Bulgaria || 22/12/1976 | Chile * || 11/12/1985 | China || | Czechia || | Ecuador || | Finland || 08/09/1977 | France * || | Germany || 07/03/1988 | India || 22/04/1987 | Italy || 01/11/1982 | Japan * || 10/05/1995 | Korea (ROK) || 10/10/2003 | Netherlands || 30/06/1977 | New Zealand * || 17/12/1976 | Norway * || | Peru || 11/07/1977 | Poland || 14/11/1977 | Russian Federation * || 20/08/1976 | South Africa * || 08/04/1988 | Spain || | Sweden || | Ukraine || 01/09/1977 | United Kingdom * || 31/07/1979 | United States * || 10/10/1989 | Uruguay,*Parties whose approval is needed for the Measure to enter into effect (Art. IX.4 of the Treaty),https://www.ats.aq/devAS/Meetings/Measure/105?s=1&iframe=1&from=06/20/1975&to=06/20/1975&cat=0&top=0&type=1&stat=4&txt=&curr=0,data_raw/measure_texts/1975/Recommendation_5.txt
6,Recommendation,"Recommendation VIII-6 (ATCM VIII - Oslo, 1975)",Standard format for exchange of information,1975,ATCM VIII,Effective,Effective 16/12/1978,Information exchange,,Annual Exchanges of Information | https://documents.ats.aq/recatt/att013_e.pdf,8,,23/04/1977 | Argentina * || 27/08/1976 | Australia * || 21/01/1977 | Belgium * || 27/10/1986 | Brazil || | Bulgaria || 22/12/1976 | Chile * || 11/12/1985 | China || | Czechia || | Ecuador || | Finland || 08/09/1977 | France * || 17/02/1981 | Germany || 07/03/1988 | India || 22/04/1987 | Italy || 16/12/1978 | Japan * || 10/05/1995 | Korea (ROK) || 10/10/2003 | Netherlands || 30/06/1977 | New Zealand * || 17/12/1976 | Norway * || | Peru || 11/07/1977 | Poland || 14/11/1977 | Russian Federation * || 20/08/1976 | South Africa * || 08/04/1988 | Spain || | Sweden || | Ukraine || 01/09/1977 | United Kingdom * || 08/04/1977 | United States * || 10/10/1989 | Uruguay,*Parties whose approval is needed for the Measure to enter into effect (Art. IX.4 of the Treaty),https://www.ats.aq/devAS/Meetings/Measure/106?s=1&iframe=1&from=06/20/1975&to=06/20/1975&cat=0&top=0&type=1&stat=4&txt=&curr=0,data_raw/measure_texts/1975/Recommendation_6.txt
7,Recommendation,"Recommendation VIII-7 (ATCM VIII - Oslo, 1975)",Cooperative Air Transport System,1975,ATCM VIII,Effective,Effective 16/12/1978. No longer current: D 2 (2015),Operational matters,Air Transport | Common transport facilities | SCAR (Scientific Committee on Antarctic Research),,8,,23/04/1977 | Argentina * || 27/08/1976 | Australia * || 21/01/1977 | Belgium * || 27/10/1986 | Brazil || | Bulgaria || 22/12/1976 | Chile * || 11/12/1985 | China || | Czechia || | Ecuador || | Finland || 08/09/1977 | France * || 17/02/1981 | Germany || 07/03/1988 | India || 22/04/1987 | Italy || 16/12/1978 | Japan * || 10/05/1995 | Korea (ROK) || 10/10/2003 | Netherlands || 30/06/1977 | New Zealand * || 17/12/1976 | Norway * || | Peru || 11/07/1977 | Poland || 14/11/1977 | Russian Federation * || 20/08/1976 | South Africa * || 08/04/1988 | Spain || | Sweden || | Ukraine || 01/09/1977 | United Kingdom * || 08/04/1977 | United States * || 10/10/1989 | Uruguay,*Parties whose approval is needed for the Measure to enter into effect (Art. IX.4 of the Treaty),https://www.ats.aq/devAS/Meetings/Measure/107?s=1&iframe=1&from=06/20/1975&to=06/20/1975&cat=0&top=0&type=1&stat=4&txt=&curr=0,data_raw/measure_texts/1975/Recommendation_7.txt
8,Recommendation,"Recommendation VIII-8 (ATCM VIII - Oslo, 1975)",Non-Consultative party status and the approval of Recommendations,1975,ATCM VIII,Effective,Effective 16/12/1978,Institutional & legal matters,Non-Consultative Parties | Non-Party States | Recommendations,Paragraph 15-17 of ATCM VII | https://documents.ats.aq/recatt/att307_e.pdf,8,,23/04/1977 | Argentina * || 27/08/1976 | Australia * || 21/01/1977 | Belgium * || 27/10/1986 | Brazil || | Bulgaria || 22/12/1976 | Chile * || 11/12/1985 | China || | Czechia || | Ecuador || | Finland || 08/09/1977 | France * || 17/02/1981 | Germany || 07/03/1988 | India || 22/04/1987 | Italy || 16/12/1978 | Japan * || 10/05/1995 | Korea (ROK) || 10/10/2003 | Netherlands || 30/06/1977 | New Zealand * || 17/12/1976 | Norway * || | Peru || 11/07/1977 | Poland || 14/11/1977 | Russian Federation * || 20/08/1976 | South Africa * || 08/04/1988 | Spain || | Sweden || | Ukraine || 01/09/1977 | United Kingdom * || 08/04/1977 | United States * || 10/10/1989 | Uruguay,*Parties whose approval is needed for the Measure to enter into effect (Art. IX.4 of the Treaty),https://www.ats.aq/devAS/Meetings/Measure/108?s=1&iframe=1&from=06/20/1975&to=06/20/1975&cat=0&top=0&type=1&stat=4&txt=&curr=0,data_raw/measure_texts/1975/Recommendation_8.txt
9,Recommendation,"Recommendation VIII-9 (ATCM VIII - Oslo, 1975)",Statement of Accepted Practices in Tourism,1975,ATCM VIII,Effective,Effective 01/11/1982,Tourism and Non-Governmental Activities | Information exchange,Activities' authorization procedures | Information exchange | Tourism Management | Tourism planning | Tourist landings | Visits to stations,Tourism Guidelines | https://documents.ats.aq/recatt/att070_e.pdf,8,,23/04/1977 | Argentina * || 27/08/1976 | Australia * || 21/01/1977 | Belgium * || 27/10/1986 | Brazil || | Bulgaria || 22/12/1976 | Chile * || 11/12/1985 | China || | Czechia || | Ecuador || | Finland || 08/09/1977 | France * || 26/01/1984 | Germany || 07/03/1988 | India || 22/04/1987 | Italy || 01/11/1982 | Japan * || 10/05/1995 | Korea (ROK) || 10/10/2003 | Netherlands || 30/06/1977 | New Zealand * || 17/12/1976 | Norway * || | Peru || 11/07/1977 | Poland || 14/11/1977 | Russian Federation * || 20/08/1976 | South Africa * || 08/04/1988 | Spain || | Sweden || | Ukraine || 01/09/1977 | United Kingdom * || 08/04/1977 | United States * || 10/10/1989 | Uruguay,*Parties whose approval is needed for the Measure to enter into effect (Art. IX.4 of the Treaty),https://www.ats.aq/devAS/Meetings/Measure/109?s=1&iframe=1&from=06/20/1975&to=06/20/1975&cat=0&top=0&type=1&stat=4&txt=&curr=0,data_raw/measure_texts/1975/Recommendation_9.txt
10,Recommendation,"Recommendation VIII-10 (ATCM VIII - Oslo, 1975)",Protection and study of Antarctic marine living resources.,1975,ATCM VIII,Effective,Effective 16/12/1978,Marine living resources | Scientific cooperation,SCAR (Scientific Committee on Antarctic Research),,8,,23/04/1977 | Argentina * || 27/08/1976 | Australia * || 21/01/1977 | Belgium * || 27/10/1986 | Brazil || | Bulgaria || 22/12/1976 | Chile * || 11/12/1985 | China || | Czechia || | Ecuador || | Finland || 08/09/1977 | France * || 17/02/1981 | Germany || 07/03/1988 | India || 22/04/1987 | Italy || 16/12/1978 | Japan * || 10/05/1995 | Korea (ROK) || 10/10/2003 | Netherlands || 30/06/1977 | New Zealand * || 17/12/1976 | Norway * || | Peru || 11/07/1977 | Poland || 14/11/1977 | Russian Federation * || 20/08/1976 | South Africa * || 08/04/1988 | Spain || | Sweden || | Ukraine || 01/09/1977 | United Kingdom * || 08/04/1977 | United States * || 10/10/1989 | Uruguay,*Parties whose approval is needed for the Measure to enter into effect (Art. IX.4 of the Treaty),https://www.ats.aq/devAS/Meetings/Measure/110?s=1&iframe=1&from=06/20/1975&to=06/20/1975&cat=0&top=0&type=1&stat=4&txt=&curr=0,data_raw/measure_texts/1975/Recommendation_10.txt
