number,measure_type,title,subject,year,meeting_name,status,status_details,category,topics,attachments,final_report_par,memo,approvals,approvals_text,url,text_file
M1,Measure,"Measure 1 (2015) - ATCM XXXVIII - CEP XVIII, Sofia","Antarctic Specially Protected Area No 101 (Taylor Rookery, Mac.Robertson Land): Revised Management Plan",2015,ATCM XXXVIII - CEP XVIII,Effective,Effective 31/10/2015 (Fast Approval),Area protection and management,Taylor Rookery (ASPA 101),"ASPA No 101 - Taylor Rookery, Mac.Robertson Land . Replaced by M2 (2021) | https://documents.ats.aq/recatt/att562_e.pdf",144,Management Plan for Antarctic Specially Protected Area 101 annexed to this Measure revoked by Measure 2 (2021),,Fast Approval: Entered into effect on 31 Oct 2015,https://www.ats.aq/devAS/Meetings/Measure/587?s=1&iframe=1&from=06/10/2015&to=06/10/2015&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2015/Measure_M1.txt
M2,Measure,"Measure 2 (2015) - ATCM XXXVIII - CEP XVIII, Sofia","Antarctic Specially Protected Area No 102 (Rookery Islands, Holme Bay, Mac.Robertson Land): Revised Management Plan",2015,ATCM XXXVIII - CEP XVIII,Effective,Effective 31/10/2015 (Fast Approval),Area protection and management,Rookery Islands (ASPA 102),"ASPA No 102 - Rookery Islands, Holme Bay, Mac.Robertson Land . Replaced by M3 (2021) | https://documents.ats.aq/recatt/att563_e.pdf",144,Management Plan for Antarctic Specially Protected Area No 102 annexed to this Measure revoked by Measure 3 (2021),,Fast Approval: Entered into effect on 31 Oct 2015,https://www.ats.aq/devAS/Meetings/Measure/588?s=1&iframe=1&from=06/10/2015&to=06/10/2015&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2015/Measure_M2.txt
M3,Measure,"Measure 3 (2015) - ATCM XXXVIII - CEP XVIII, Sofia","Antarctic Specially Protected Area No 103 (Ardery Island and Odbert Island, Budd Coast, Wilkes Land, East Antarctica): Revised Management Plan",2015,ATCM XXXVIII - CEP XVIII,Effective,Effective 31/10/2015 (Fast Approval),Area protection and management,Ardery and Odbert Islands (ASPA 103),ASPA No 103 - Ardery Island and Odbert island . Replaced by M4 (2021) | https://documents.ats.aq/recatt/att564_e.pdf,144,Management Plan for Antarctic Specially Protected Area No 103 annexed to this Measure revoked by Measure 4 (2021).,,Fast Approval: Entered into effect on 31 Oct 2015,https://www.ats.aq/devAS/Meetings/Measure/589?s=1&iframe=1&from=06/10/2015&to=06/10/2015&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2015/Measure_M3.txt
M4,Measure,"Measure 4 (2015) - ATCM XXXVIII - CEP XVIII, Sofia","Antarctic Specially Protected Area No 104 (Sabrina Island, Balleny Islands): Revised Management Plan",2015,ATCM XXXVIII - CEP XVIII,Effective,Effective 31/10/2015 (Fast Approval),Area protection and management,Sabrina Island (ASPA 104),"ASPA No. 104 - Sabrina Island, Balleny Islands . Replaced by M5 (2021) | https://documents.ats.aq/recatt/att565_e.pdf",144,Management Plan for Antarctic Specially Protected Area No 104 annexed to this Measure revoked by Measure 5 (2021).,,Fast Approval: Entered into effect on 31 Oct 2015,https://www.ats.aq/devAS/Meetings/Measure/590?s=1&iframe=1&from=06/10/2015&to=06/10/2015&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2015/Measure_M4.txt
M5,Measure,"Measure 5 (2015) - ATCM XXXVIII - CEP XVIII, Sofia","Antarctic Specially Protected Area No 105 (Beaufort Island, McMurdo Sound, Ross Sea): Revised Management Plan",2015,ATCM XXXVIII - CEP XVIII,Effective,Effective 31/10/2015 (Fast Approval),Area protection and management,Beaufort Island (ASPA 105),"ASPA No. 105 - Beaufort Island, McMurdo Sound, Ross Sea . Replaced by M6 (2021) | https://documents.ats.aq/recatt/att566_e.pdf",144,Management Plan for Antarctic Specially Protected Area No 105 annexed to this Measure revoked by Measure 6 (2021).,,Fast Approval: Entered into effect on 31 Oct 2015,https://www.ats.aq/devAS/Meetings/Measure/591?s=1&iframe=1&from=06/10/2015&to=06/10/2015&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2015/Measure_M5.txt
M6,Measure,"Measure 6 (2015) - ATCM XXXVIII - CEP XVIII, Sofia","Antarctic Specially Protected Area No 106 (Cape Hallett, Northern Victoria Land, Ross Sea): Revised Management Plan",2015,ATCM XXXVIII - CEP XVIII,Effective,Effective 31/10/2015 (Fast Approval),Area protection and management,Cape Hallet (ASPA 106),"ASPA No. 106 - Cape Hallett, Northern Victoria Land, Ross Sea . Replaced by M7 (2021) | https://documents.ats.aq/recatt/att567_e.pdf",144,Management Plan for Antarctic Specially Protected Area No 106 annexed to this Measure revoked by Measure 7 (2021).,,Fast Approval: Entered into effect on 31 Oct 2015,https://www.ats.aq/devAS/Meetings/Measure/592?s=1&iframe=1&from=06/10/2015&to=06/10/2015&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2015/Measure_M6.txt
M7,Measure,"Measure 7 (2015) - ATCM XXXVIII - CEP XVIII, Sofia","Antarctic Specially Protected Area No 119 (Davis Valley and Forlidas Pond, Dufek Massif, Pensacola Mountains): Revised Management Plan",2015,ATCM XXXVIII - CEP XVIII,Effective,Effective 31/10/2015 (Fast Approval),Area protection and management,Davis Valley ponds and Forlidas Pond (ASPA 119),"ASPA No. 119 - Davis Valley and Forlidas Pond, Dufek Massif, Pensacola Mountains . Replaced by M7 (2022) | https://documents.ats.aq/recatt/att568_e.pdf",144,Management Plan for Antarctic Specially Protected Area No 119 annexed to this Measure revoked by Measure 7 (2022),,Fast Approval: Entered into effect on 31 Oct 2015,https://www.ats.aq/devAS/Meetings/Measure/593?s=1&iframe=1&from=06/10/2015&to=06/10/2015&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2015/Measure_M7.txt
M8,Measure,"Measure 8 (2015) - ATCM XXXVIII - CEP XVIII, Sofia","Antarctic Specially Protected Area No 148 (Mount Flora, Hope Bay, Antarctic Peninsula): Revised Management Plan",2015,ATCM XXXVIII - CEP XVIII,Effective,Effective 31/10/2015 (Fast Approval),Area protection and management,Mount Flora (ASPA 148),"ASPA No. 148 - Mount Flora, Hope Bay, Antarctic Peninsula . Replaced by M11 (2021) | https://documents.ats.aq/recatt/att569_e.pdf",144,Management Plan for Antarctic Specially Protected Area No 148 annexed to this Measure revoked by Measure 11 (2021),,Fast Approval: Entered into effect on 31 Oct 2015,https://www.ats.aq/devAS/Meetings/Measure/594?s=1&iframe=1&from=06/10/2015&to=06/10/2015&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2015/Measure_M8.txt
M9,Measure,"Measure 9 (2015) - ATCM XXXVIII - CEP XVIII, Sofia",Antarctic Specially Protected Area No 152 (Western Bransfield Strait): Revised Management Plan,2015,ATCM XXXVIII - CEP XVIII,Effective,Effective 31/10/2015 (Fast Approval),Area protection and management,Bransfield Strait (ASPA 152),ASPA No. 152 - Western Bransfield Strait . Terminated by M17 (2024) | https://documents.ats.aq/recatt/att570_e.pdf,144,,,Fast Approval: Entered into effect on 31 Oct 2015,https://www.ats.aq/devAS/Meetings/Measure/595?s=1&iframe=1&from=06/10/2015&to=06/10/2015&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2015/Measure_M9.txt
M10,Measure,"Measure 10 (2015) - ATCM XXXVIII - CEP XVIII, Sofia",Antarctic Specially Protected Area No 153 (Eastern Dallmann Bay): Revised Management Plan,2015,ATCM XXXVIII - CEP XVIII,Effective,Effective 31/10/2015 (Fast Approval),Area protection and management,Dallmann Bay (ASPA 153),ASPA No. 153 - Eastern Dallmann Bay . Terminated by M17 (2024) | https://documents.ats.aq/recatt/att571_e.pdf,144,,,Fast Approval: Entered into effect on 31 Oct 2015,https://www.ats.aq/devAS/Meetings/Measure/596?s=1&iframe=1&from=06/10/2015&to=06/10/2015&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2015/Measure_M10.txt
