number,measure_type,title,subject,year,meeting_name,status,status_details,category,topics,attachments,final_report_par,memo,approvals,approvals_text,url,text_file
M1,Measure,"Measure 1 (2021) - ATCM XLIII - CEP XXIII, Paris","Antarctic Specially Managed Area No 6 (Larsemann Hills, East Antarctica): Revised Management Plan",2021,ATCM XLIII - CEP XXIII,Effective,Effective 22/09/2021 (Fast Approval),Area protection and management,Larsemann Hills (ASMA 6),"ASMAa No 6 (Larsemann Hills, East Antarctica): Revised Management Plan | https://documents.ats.aq/recatt/att674_e.pdf",53,,,Fast Approval: Entered into effect on 22 Sep 2021,https://www.ats.aq/devAS/Meetings/Measure/710?s=1&iframe=1&from=06/24/2021&to=06/24/2021&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2021/Measure_M1.txt
M2,Measure,"Measure 2 (2021) - ATCM XLIII - CEP XXIII, Paris","Antarctic Specially Protected Area No 101 (Taylor Rookery, Mac.Robertson Land): Revised Management Plan",2021,ATCM XLIII - CEP XXIII,Effective,Effective 22/09/2021 (Fast Approval),Area protection and management,Taylor Rookery (ASPA 101),"ASPA No 101 (Taylor Rookery, Mac.Robertson Land): Revised Management Plan | https://documents.ats.aq/recatt/att675_e.pdf",53,,,Fast Approval: Entered into effect on 22 Sep 2021,https://www.ats.aq/devAS/Meetings/Measure/711?s=1&iframe=1&from=06/24/2021&to=06/24/2021&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2021/Measure_M2.txt
M3,Measure,"Measure 3 (2021) - ATCM XLIII - CEP XXIII, Paris","Antarctic Specially Protected Area No 102 (Rookery Islands, Holme Bay, Mac.Robertson Land): Revised Management Plan",2021,ATCM XLIII - CEP XXIII,Effective,Effective 22/09/2021 (Fast Approval),Area protection and management,Rookery Islands (ASPA 102),"ASPA No 102 (Rookery Islands, Holme Bay, Mac.Robertson Land): Revised Management Plan | https://documents.ats.aq/recatt/att676_e.pdf",53,,,Fast Approval: Entered into effect on 22 Sep 2021,https://www.ats.aq/devAS/Meetings/Measure/712?s=1&iframe=1&from=06/24/2021&to=06/24/2021&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2021/Measure_M3.txt
M4,Measure,"Measure 4 (2021) - ATCM XLIII - CEP XXIII, Paris","Antarctic Specially Protected Area No 103 (Ardery Island and Odbert Island, Budd Coast, Wilkes Land, East Antarctica): Revised Management Plan",2021,ATCM XLIII - CEP XXIII,Effective,Effective 22/09/2021 (Fast Approval),Area protection and management,Ardery and Odbert Islands (ASPA 103),"ASPA No 103 (Ardery Island and Odbert Island, Budd Coast, Wilkes Land, East Antarctica): Revised Management Plan | https://documents.ats.aq/recatt/att677_e.pdf",53,,,Fast Approval: Entered into effect on 22 Sep 2021,https://www.ats.aq/devAS/Meetings/Measure/713?s=1&iframe=1&from=06/24/2021&to=06/24/2021&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2021/Measure_M4.txt
M5,Measure,"Measure 5 (2021) - ATCM XLIII - CEP XXIII, Paris","Antarctic Specially Protected Area No 104 (Sabrina Island, Balleny Islands): Revised Management Plan",2021,ATCM XLIII - CEP XXIII,Effective,Effective 22/09/2021 (Fast Approval),Area protection and management,Sabrina Island (ASPA 104),"ASPA No 104 (Sabrina Island, Balleny Islands): Revised Management Plan | https://documents.ats.aq/recatt/att678_e.pdf",53,,,Fast Approval: Entered into effect on 22 Sep 2021,https://www.ats.aq/devAS/Meetings/Measure/714?s=1&iframe=1&from=06/24/2021&to=06/24/2021&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2021/Measure_M5.txt
M6,Measure,"Measure 6 (2021) - ATCM XLIII - CEP XXIII, Paris","Antarctic Specially Protected Area No 105 (Beaufort Island, McMurdo Sound, Ross Sea): Revised Management Plan",2021,ATCM XLIII - CEP XXIII,Effective,Effective 22/09/2021 (Fast Approval),Area protection and management,Beaufort Island (ASPA 105),"ASPA No 105 (Beaufort Island, McMurdo Sound, Ross Sea): Revised Management Plan | https://documents.ats.aq/recatt/att679_e.pdf",53,,,Fast Approval: Entered into effect on 22 Sep 2021,https://www.ats.aq/devAS/Meetings/Measure/715?s=1&iframe=1&from=06/24/2021&to=06/24/2021&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2021/Measure_M6.txt
M7,Measure,"Measure 7 (2021) - ATCM XLIII - CEP XXIII, Paris","Antarctic Specially Protected Area No 106 (Cape Hallett, Northern Victoria Land, Ross Sea): Revised Management Plan",2021,ATCM XLIII - CEP XXIII,Effective,Effective 22/09/2021 (Fast Approval),Area protection and management,Cape Hallet (ASPA 106),"ASPA No 106 (Cape Hallett, Northern Victoria Land, Ross Sea): Revised Management Plan | https://documents.ats.aq/recatt/att680_e.pdf",53,,,Fast Approval: Entered into effect on 22 Sep 2021,https://www.ats.aq/devAS/Meetings/Measure/716?s=1&iframe=1&from=06/24/2021&to=06/24/2021&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2021/Measure_M7.txt
M8,Measure,"Measure 8 (2021) - ATCM XLIII - CEP XXIII, Paris","Antarctic Specially Protected Area No 120 (Pointe-Géologie Archipelago, Terre Adélie): Revised Management Plan",2021,ATCM XLIII - CEP XXIII,Effective,Effective 22/09/2021 (Fast Approval),Area protection and management,Pointe-Geologie (ASPA 120),"ASPA No 120 (Pointe-Géologie Archipelago, Terre Adélie): Revised Management Plan | https://documents.ats.aq/recatt/att681_e.pdf",53,,,Fast Approval: Entered into effect on 22 Sep 2021,https://www.ats.aq/devAS/Meetings/Measure/717?s=1&iframe=1&from=06/24/2021&to=06/24/2021&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2021/Measure_M8.txt
M9,Measure,"Measure 9 (2021) - ATCM XLIII - CEP XXIII, Paris","Antarctic Specially Protected Area No 121 (Cape Royds, Ross Island): Revised Management Plan",2021,ATCM XLIII - CEP XXIII,Effective,Effective 22/09/2021 (Fast Approval),Area protection and management,Cape Royds (ASPA 121),"ASPA No 121 (Cape Royds, Ross Island): Revised Management Plan | https://documents.ats.aq/recatt/att682_e.pdf",53,,,Fast Approval: Entered into effect on 22 Sep 2021,https://www.ats.aq/devAS/Meetings/Measure/718?s=1&iframe=1&from=06/24/2021&to=06/24/2021&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2021/Measure_M9.txt
M10,Measure,"Measure 10 (2021) - ATCM XLIII - CEP XXIII, Paris","Antarctic Specially Protected Area No 131 (Canada Glacier, Lake Fryxell, Taylor Valley, Victoria Land): Revised Management Plan",2021,ATCM XLIII - CEP XXIII,Effective,Effective 22/09/2021 (Fast Approval),Area protection and management,Canada Glacier (ASPA 131),"ASPA No 131 (Canada Glacier, Lake Fryxell, Taylor Valley, Victoria Land): Revised Management Plan | https://documents.ats.aq/recatt/att683_e.pdf",53,,,Fast Approval: Entered into effect on 22 Sep 2021,https://www.ats.aq/devAS/Meetings/Measure/719?s=1&iframe=1&from=06/24/2021&to=06/24/2021&cat=0&top=0&type=2&stat=4&txt=&curr=0,data_raw/measure_texts/2021/Measure_M10.txt
